model,task_id,passed,fail_reason,gen_tps,eval_count,total_ms,error
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/105,0,AssertionError: Error,40.791968174151506,362,10874.039888381958,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/106,1,,40.93140782895038,180,6067.194223403931,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/107,1,,41.2473248317059,288,8873.455286026001,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/108,0,ValueError: invalid literal for int() with base 10: '-',41.816923308863096,152,4943.701982498169,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/109,0,AssertionError: This prints if this assert fails 1 (good for debugging!),40.823117106592726,345,10962.917566299438,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/110,0,AssertionError,40.43080169677885,246,8271.440744400024,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/111,1,,41.07120267981383,250,7867.293119430542,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/112,1,,41.32887418834683,189,6032.241582870483,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/113,0,AssertionError: Test 1,40.71872888257412,235,7253.442287445068,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/114,1,,41.85592386085481,156,5159.940481185913,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/115,0,AssertionError: Error,40.98991225339987,349,10874.378681182861,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/116,1,,41.71038306771436,188,6203.268051147461,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/117,0,"AssertionError: First test error: ['Mary', 'lamb']",41.30257481372726,221,6813.913345336914,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/118,1,,41.491090203289744,75,3584.6617221832275,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/119,0,AssertionError,41.262841260090404,258,8146.53205871582,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/120,0,AssertionError,41.67936158138414,229,7259.151458740234,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/121,1,,40.87674693486805,131,4345.690727233887,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/122,1,,40.928200425397485,160,5206.765413284302,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/123,0,AssertionError,41.13582926587867,298,9306.767225265503,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/124,0,AssertionError,41.42463892897421,427,12793.05624961853,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/125,0,AssertionError,41.35878515181823,197,6348.498821258545,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/126,0,AssertionError: This prints if this assert fails 5 (good for debugging!),41.76453987708099,280,8867.963790893555,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/127,0,AssertionError,41.10765593255013,385,11593.775033950806,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/128,1,,41.2913695425237,206,6326.378583908081,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/129,0,AssertionError,40.286668710396675,402,12810.818910598755,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/130,0,IndexError: list index out of range,41.4250207173579,354,10470.428228378296,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/131,1,,42.012450797828535,139,4465.8403396606445,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/132,0,AssertionError,41.704093417169254,208,6535.517930984497,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/133,0,AssertionError: This prints if this assert fails 1 (good for debugging!),40.91107095420889,176,5783.7395668029785,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/134,0,AssertionError,41.44456496393695,198,6562.826871871948,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/135,0,AssertionError,41.93881127435072,42,2369.5571422576904,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/136,1,,41.633456562841246,201,6487.888813018799,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/137,0,AssertionError,41.48294650950769,223,6693.1610107421875,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/138,0,AssertionError,41.219443690884845,129,4350.390672683716,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/139,0,AssertionError: Test 4,41.02994580684044,122,4498.090028762817,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/140,0,AssertionError: This prints if this assert fails 4 (good for debugging!),41.14575894168033,227,7038.452863693237,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/141,0,AssertionError,41.027563239497546,338,10180.04560470581,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/142,1,,39.770321543049675,246,7643.889427185059,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/143,1,,40.4252525655535,230,6984.965085983276,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/144,1,,41.345755785977566,315,9315.980195999146,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/145,0,AssertionError,41.71327267766355,146,4904.173374176025,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/146,1,,41.657459045758536,210,6678.716421127319,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/147,1,,41.40116418132998,256,7711.190700531006,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/148,1,,40.592223792790485,315,9842.914819717407,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/149,1,,41.17101912690206,257,8027.621746063232,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/150,1,,40.89545334641266,151,4664.255380630493,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/151,1,,41.64355980072077,183,5754.865884780884,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/152,1,,41.29126305292888,247,7803.179979324341,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/153,1,,40.929617534300455,313,9880.742073059082,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/154,1,,41.09674126192214,176,5768.094539642334,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/155,1,,41.71464830438767,142,4285.922050476074,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/156,1,,41.481176950303876,247,7353.171825408936,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/157,1,,41.747783532209546,166,5257.818222045898,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/158,1,,41.3057293255437,187,5685.593605041504,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/159,1,,41.21639697145026,318,10202.526569366455,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/160,0,AssertionError,40.74873374292581,311,9344.13194656372,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/161,1,,41.164494545336936,168,5238.242387771606,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/162,1,,41.54101790879439,108,3570.4987049102783,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/163,0,AssertionError: Test 1,41.537567290197586,157,4816.406488418579,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/0,1,,17.479823404454052,163,11331.68649673462,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/1,1,,17.864862062963894,198,12698.765754699707,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/2,1,,18.83169021662652,91,6379.430294036865,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/3,1,,17.9313942496614,152,10153.126239776611,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/4,1,,16.80295614407443,160,11131.126642227173,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/5,1,,18.2801675605859,128,8544.811725616455,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/6,0,AssertionError,18.021719471714867,213,13423.887014389038,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/7,1,,18.660217695431125,105,7133.1377029418945,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/8,1,,18.667111526775965,158,10071.667909622192,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/9,1,,18.35875888404289,161,10269.355535507202,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/10,1,,18.328813951768915,177,11491.108417510986,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/11,1,,19.226827659303602,103,6843.360662460327,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/12,1,,17.98871956410199,155,10203.373908996582,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/13,1,,17.326224488997475,93,6723.721742630005,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/14,1,,19.49975958524258,79,5415.324687957764,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/15,1,,17.311554115918167,81,6107.065439224243,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/16,1,,18.718063842882543,76,5489.598274230957,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/17,1,,17.819520176173885,201,13292.978286743164,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/18,1,,17.84326527133188,139,9447.638273239136,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/19,1,,17.39366475292431,198,13036.92626953125,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/20,1,,17.672809531622548,243,15772.549390792847,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/21,1,,17.195015046178888,159,10911.954164505005,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/22,1,,19.182542351856423,105,7029.448747634888,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/23,1,,20.044857832912037,47,3673.58136177063,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/24,1,,19.76666929398646,80,5426.905632019043,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/25,1,,9.68239248579568,174,19422.90735244751,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/26,0,AssertionError,3.2173264547073974,119,38090.10601043701,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/27,1,,10.289977622325136,68,7664.073467254639,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/28,1,,8.322216909724617,62,8531.314373016357,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/29,1,,17.68710545695441,99,7138.566732406616,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/30,1,,8.971002091750067,131,16316.925048828125,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/31,1,,18.911505971743473,152,9675.88758468628,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/32,0,timeout>15s,17.763967998958734,428,26689.560651779175,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/33,1,,17.788931388753205,242,15778.70512008667,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/34,1,,18.36143865006703,82,5962.058782577515,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/35,1,,18.61395195473087,91,6434.255123138428,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/36,1,,18.72113075629768,130,8496.665954589844,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/37,1,,17.37097907281793,215,14093.2137966156,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/38,1,,18.07822045032214,257,16120.47815322876,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/39,1,,18.1540710327178,205,12936.82074546814,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/40,1,,18.177450872193045,252,15797.014713287354,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/41,1,,17.02065657236934,157,11123.730182647705,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/42,1,,18.27412932984494,124,8509.535789489746,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/43,1,,18.192836478213202,187,12167.302370071411,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/44,1,,17.678565667253153,160,10705.69109916687,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/45,1,,16.805219701239203,56,4663.051128387451,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/46,0,AssertionError,18.074058454517385,264,16641.32332801819,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/47,1,,19.323948290735963,143,9171.18501663208,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/48,1,,18.143505357800393,78,5800.039052963257,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/49,1,,18.28618355193115,176,11331.300735473633,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/50,1,,17.973177881418234,123,8413.68842124939,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/51,1,,18.196240136895142,147,9771.883010864258,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/52,1,,18.11427331509316,94,6737.809896469116,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/53,1,,19.617471953343323,62,4525.76470375061,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/54,0,AssertionError,18.218099803608883,150,10095.577001571655,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/55,1,,18.88575126547771,107,7022.077798843384,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/56,1,,18.179390463844012,145,9522.7792263031,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/57,1,,17.761554625521395,127,8683.109760284424,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/58,1,,19.330406267437038,134,8640.623807907104,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/59,0,AssertionError,18.93692847545935,159,9871.872663497925,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/60,1,,19.463515639932947,117,7651.200294494629,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/61,1,,18.705702393855677,142,9061.869144439697,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/62,1,,18.94122151191813,127,8318.43614578247,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/63,1,,18.09676977360001,231,14641.45827293396,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/64,0,AssertionError,18.198042295049994,234,14582.338333129883,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/65,0,AssertionError,18.726106208712537,130,8482.020854949951,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/66,1,,18.211846724748867,134,9033.693790435791,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/67,1,,17.62019132964847,330,21102.02383995056,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/68,0,AttributeError: 'int' object has no attribute 'value',17.385367622725703,400,25815.75322151184,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/69,1,,21.118522877445272,59,4843.201398849487,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/70,0,ValueError: max() iterable argument is empty,17.900288914261125,199,12809.40294265747,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/71,1,,18.002906651110216,198,12620.880126953125,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/72,1,,17.686619098083494,245,16242.905616760254,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/73,1,,18.174341532565787,214,13712.50057220459,
qwen2.5-coder:1.5b-instruct-q8_0,HumanEval/74,0,AssertionError,17.327114616287535,222,15148.512363433838,
